"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Melky Cabrera","Pirates","52","166","3","18","18","2","4.8 %","11.4 %",".122",".358",".327",".364",".449",".345","115","0.9","4.2","-3.4","0.6","4022"
"Neil Walker","Marlins","51","168","4","12","14","2","10.7 %","20.8 %",".148",".364",".295",".375",".443",".354","124","-0.3","5.0","-4.3","0.6","7539"
"Wil Myers","Padres","54","191","10","27","20","5","9.9 %","36.6 %",".212",".322",".229",".314",".441",".323","102","-0.9","-0.5","0.4","0.6","10047"
"Matt Carpenter","Cardinals","54","232","8","33","18","2","14.2 %","23.7 %",".173",".259",".218",".332",".391",".316","96","-1.1","-2.3","0.7","0.6","8090"
"Enrique Hernandez","Dodgers","52","198","8","24","27","0","9.6 %","24.2 %",".177",".248",".217",".298",".394",".296","85","0.7","-3.1","2.6","0.6","10472"
"Jay Bruce","Mariners","46","181","13","25","27","1","8.3 %","29.3 %",".307",".212",".209",".276",".515",".326","108","0.8","2.5","-3.1","0.6","9892"
"Danny Santana","Rangers","34","125","4","23","13","6","4.0 %","29.6 %",".183",".400",".296",".339",".478",".343","107","1.4","2.5","-1.3","0.6","10322"
"Franmil Reyes","Padres","54","190","15","24","27","0","6.3 %","26.8 %",".291",".250",".246",".289",".537",".339","112","-0.8","2.2","-2.6","0.6","14566"
"Brian Anderson","Marlins","53","226","5","13","21","3","9.7 %","22.1 %",".121",".281",".231",".314",".352",".291","83","1.5","-3.6","1.9","0.6","18289"
"Albert Almora Jr.","Cubs","52","176","7","24","20","2","5.1 %","15.9 %",".173",".268",".253",".297",".426",".303","86","1.3","-1.9","1.9","0.5","14109"
"Adam Eaton","Nationals","55","249","5","33","15","5","9.2 %","18.1 %",".115",".320",".271",".350",".385",".322","96","0.8","-0.4","-2.0","0.5","11205"
"Mitch Moreland","Red Sox","46","172","13","25","34","1","12.2 %","21.5 %",".322",".208",".228",".320",".550",".358","120","-1.1","3.3","-3.8","0.5","3086"
"Ryan Braun","Brewers","52","190","9","25","30","4","7.4 %","22.6 %",".208",".322",".277",".339",".486",".350","115","0.6","4.2","-4.8","0.5","3410"
"Evan Longoria","Giants","49","186","6","18","19","2","9.7 %","19.9 %",".181",".244",".217",".301",".398",".302","87","0.3","-2.7","2.1","0.5","9368"
"Dee Gordon","Mariners","45","173","3","16","19","12","4.0 %","14.5 %",".088",".311",".281",".310",".369",".292","85","3.0","-0.3","-0.5","0.5","8203"
"Freddy Galvis","Blue Jays","52","208","8","24","23","2","4.8 %","23.6 %",".182",".312",".263",".298",".444",".312","94","-1.3","-2.9","0.8","0.5","6609"
"Ronny Rodriguez","Tigers","34","134","6","16","19","2","4.5 %","32.1 %",".264",".278",".224",".254",".488",".301","86","0.8","-1.5","2.0","0.5","11875"
"Aledmys Diaz","Astros","32","109","5","17","22","0","6.4 %","11.9 %",".224",".274",".286",".321",".510",".342","117","0.5","2.8","-1.6","0.5","15937"
"Brandon Belt","Giants","53","196","8","25","20","2","13.3 %","21.4 %",".234",".263",".234",".342",".467",".344","116","-0.1","3.8","-5.0","0.5","10264"
"Chad Pinder","Athletics","44","145","5","20","18","0","4.1 %","17.9 %",".178",".292",".267",".303",".444",".315","98","0.2","-0.1","-0.1","0.5","15191"
"Orlando Arcia","Brewers","56","207","6","23","21","2","9.7 %","19.8 %",".144",".307",".262",".333",".406",".315","92","-1.5","-3.6","1.8","0.5","13185"
"Nelson Cruz","Twins","35","144","7","19","22","0","9.7 %","27.8 %",".238",".338",".270",".354",".508",".362","125","-1.3","3.3","-3.5","0.5","2434"
"Nicholas Castellanos","Tigers","51","225","5","31","20","1","6.2 %","24.4 %",".188",".340",".269",".316",".457",".325","102","0.9","1.5","-4.6","0.5","11737"
"Chris Taylor","Dodgers","53","155","4","14","19","3","8.4 %","25.2 %",".173",".299",".237",".305",".410",".303","90","0.7","-1.3","1.0","0.5","13757"
"Brian Goodwin","Angels","52","188","6","31","20","2","9.0 %","23.9 %",".174",".356",".287",".353",".461",".345","119","0.5","5.0","-6.9","0.5","12858"
"Greg Garcia","Padres","40","107","2","18","10","0","14.0 %","25.2 %",".143",".349",".264",".364",".407",".337","110","0.6","2.0","-0.9","0.5","10951"
"Kyle Schwarber","Cubs","50","205","10","27","21","0","14.6 %","28.3 %",".218",".264",".224",".337",".441",".325","100","-0.6","-0.7","-1.4","0.4","16478"
"Ji-Man Choi","Rays","44","182","5","17","20","1","9.9 %","21.4 %",".157",".314",".264",".341",".421",".327","107","-0.6","0.9","-3.0","0.4","5452"
"Khris Davis","Athletics","43","173","12","23","29","0","8.7 %","24.3 %",".248",".262",".248",".318",".497",".337","113","-0.3","2.5","-4.4","0.4","9112"
"Hanser Alberto","Orioles","43","153","3","13","14","3","2.0 %","11.8 %",".095",".320",".299",".314",".395",".303","87","1.2","-1.3","0.1","0.4","11902"
