Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
1950,Don Lenhardt,Browns,139,579,22,75,81,3,15.50%,16.20%,0.208,0.299,0.273,0.39,0.481,0.397,116,-0.5,12.1,-15.1,1.7,1007522
1902,Bobby Lowe,Orphans,119,497,0,41,31,16,2.20%,,0.04,,0.246,0.27,0.286,0.268,74,0.4,-14.4,14.1,1.7,1007786
1910,John Titus,Phillies,143,647,3,91,35,20,14.40%,6.80%,0.084,0.258,0.241,0.358,0.325,0.343,102,-1.2,0.6,-7.1,1.7,1013085
1919,Tilly Walker,Athletics,125,497,10,47,64,8,5.20%,8.20%,0.158,0.304,0.292,0.33,0.45,0.367,113,-0.6,6.9,-9.6,1.7,1013534
1927,Harvey Hendrick,Robins,128,495,4,55,50,29,4.80%,8.10%,0.114,0.333,0.31,0.35,0.424,0.357,107,5.4,9.9,-8.5,1.7,1005643
1983,Phil Garner,Astros,154,644,14,76,79,18,9.80%,13.00%,0.123,0.255,0.238,0.317,0.362,0.304,94,-1.2,-5.4,0.9,1.7,1004541
1904,Jimmy Slagle,Cubs,120,532,1,73,31,28,7.70%,,0.073,,0.26,0.322,0.333,0.316,104,2,4.4,-7.5,1.7,1012048
1939,Taffy Wright,Senators,129,547,4,77,93,1,6.90%,3.50%,0.126,0.315,0.309,0.359,0.435,0.364,105,-0.9,2.8,-5.3,1.7,1014296
1909,Ray Demmitt,Highlanders,123,498,4,68,30,16,11.00%,,0.112,,0.246,0.34,0.358,0.346,115,-0.5,7.2,-7.7,1.7,1003196
1933,Jim Bottomley,Reds,145,609,13,57,83,3,6.90%,4.60%,0.146,0.244,0.25,0.311,0.395,0.327,102,0.5,1.8,-3.3,1.7,1001228
1994,Deion Sanders,- - -,92,414,4,58,28,38,7.70%,15.20%,0.099,0.329,0.283,0.342,0.381,0.323,91,0.5,-4,7.3,1.7,1011415
1905,Shad Barry,- - -,152,667,1,100,66,21,5.70%,,0.067,,0.304,0.352,0.371,0.349,109,-0.9,6,-14.7,1.7,1000619
1987,Willie Wilson,Royals,146,653,4,97,30,59,4.90%,13.50%,0.098,0.32,0.279,0.32,0.377,0.308,85,6.8,-5.9,0.8,1.7,1014113
1969,Glenn Beckert,Cubs,131,582,1,69,37,6,4.10%,4.10%,0.05,0.3,0.291,0.325,0.341,0.305,80,1.4,-11.7,8.1,1.7,1000743
2005,Darin Erstad,Angels,153,667,7,86,66,10,7.00%,16.30%,0.099,0.321,0.273,0.325,0.371,0.307,87,5,-5.2,-0.5,1.7,11
1913,Red Murray,Giants,147,578,2,70,59,35,5.90%,4.80%,0.063,0.28,0.267,0.32,0.331,0.316,89,2.9,-4.9,1.8,1.7,1009397
1998,David Justice,Indians,146,625,21,94,88,9,12.20%,15.70%,0.196,0.302,0.28,0.363,0.476,0.362,113,0.5,10.8,-15.1,1.7,923
1948,Birdie Tebbetts,Red Sox,128,513,5,54,68,5,12.10%,6.20%,0.101,0.293,0.28,0.371,0.381,0.358,95,-0.1,-3.3,2.9,1.7,1012898
1953,Joe Adcock,Braves,157,640,18,71,80,3,6.60%,12.80%,0.168,0.306,0.285,0.334,0.453,0.354,108,0.3,7.1,-10.7,1.7,1000067
1997,Troy O'Leary,Red Sox,146,545,15,65,80,0,7.20%,12.80%,0.17,0.333,0.309,0.358,0.479,0.361,113,-2.1,7.2,-9,1.7,789
1963,Lou Brock,Cubs,148,588,9,79,37,24,5.30%,20.70%,0.124,0.314,0.258,0.3,0.382,0.303,91,0.5,-5,1.6,1.7,1001458
1993,Omar Vizquel,Mariners,158,630,2,68,31,12,7.90%,11.30%,0.043,0.288,0.255,0.319,0.298,0.286,69,-3.3,-27.1,24,1.7,411
1927,Bucky Harris,Senators,128,576,1,98,55,18,11.50%,5.70%,0.061,0.286,0.267,0.363,0.328,0.335,87,1.9,-8.4,5,1.7,1005402
1928,Chuck Dressen,Reds,135,571,1,72,59,10,7.50%,3.90%,0.07,0.303,0.291,0.355,0.361,0.338,94,1.7,-3,2.2,1.7,1003492
2008,Magglio Ordonez,Tigers,146,623,21,72,103,1,8.50%,12.20%,0.176,0.334,0.317,0.376,0.494,0.378,130,-10.5,12.4,-17.1,1.7,248
1998,Kevin Young,Pirates,159,657,27,88,108,15,6.70%,19.30%,0.211,0.298,0.27,0.328,0.481,0.348,108,0,6.9,-10.3,1.7,1018
1987,Greg Brock,Brewers,141,602,13,81,85,5,9.50%,10.50%,0.139,0.318,0.299,0.371,0.438,0.356,114,-1,10.1,-13.4,1.7,1001455
2012,Freddie Freeman,Braves,147,620,23,91,94,2,10.30%,20.80%,0.196,0.295,0.259,0.34,0.456,0.342,115,-0.9,10.3,-12.8,1.7,5361
1948,Willard Marshall,Giants,143,604,14,72,86,2,10.60%,5.60%,0.147,0.27,0.272,0.35,0.419,0.359,107,0.1,5.2,-8.1,1.7,1008148
1918,Steve O'Neill,Indians,114,420,1,34,35,5,11.40%,5.20%,0.07,0.256,0.242,0.343,0.312,0.329,97,-1.5,-3,4.5,1.7,1009820
1930,Tony Cuccinello,Reds,125,506,10,64,78,5,9.30%,8.70%,0.14,0.329,0.312,0.38,0.451,0.375,105,1,5.2,-3.3,1.7,1002848
1963,Felix Torres,Angels,138,507,4,40,51,1,5.90%,14.40%,0.099,0.298,0.261,0.307,0.361,0.299,92,0.3,-4.5,6.8,1.7,1013129
2013,Mark Trumbo,Angels,159,678,34,85,100,5,8.00%,27.10%,0.219,0.273,0.234,0.294,0.453,0.322,107,-2.7,2.5,-8.9,1.7,6876
1988,Rey Quinones,Mariners,140,530,12,63,52,0,4.30%,13.40%,0.144,0.267,0.248,0.284,0.393,0.302,84,-1.5,-11.1,9.8,1.7,1010615
2016,Maikel Franco,Phillies,152,630,25,67,88,1,6.30%,16.80%,0.172,0.271,0.255,0.306,0.427,0.311,92,-1.4,-7.9,4.7,1.7,12179
1997,Jason Giambi,Athletics,142,588,20,66,81,0,9.40%,15.10%,0.202,0.316,0.293,0.362,0.495,0.371,123,-0.4,17.2,-20.5,1.7,818
2004,Jay Payton,Padres,143,511,8,57,55,2,8.40%,11.00%,0.107,0.279,0.26,0.326,0.367,0.306,88,-1.3,-9,9,1.7,890
1993,Julio Franco,Rangers,144,607,14,85,84,9,10.20%,15.70%,0.148,0.326,0.289,0.36,0.438,0.354,116,0.7,12.6,-15.1,1.7,87
1923,Rube Lutzke,Indians,143,596,3,71,65,9,9.90%,9.60%,0.08,0.284,0.256,0.338,0.337,0.324,79,0.7,-16.1,13.5,1.7,1007852
1970,Felipe Alou,Athletics,154,618,8,70,55,10,5.20%,5.00%,0.096,0.273,0.271,0.308,0.367,0.3,87,0.2,-9.4,7.3,1.7,1000177
2014,Yangervis Solarte,- - -,131,535,10,56,48,0,9.90%,10.80%,0.109,0.275,0.26,0.336,0.369,0.317,103,-2.2,-0.4,-0.9,1.7,5352
1980,John Mayberry,Blue Jays,149,588,30,62,82,0,13.10%,13.60%,0.226,0.238,0.248,0.349,0.473,0.363,119,-0.1,12.9,-16.8,1.7,1008289
1980,Dave Concepcion,Reds,156,669,5,72,77,12,5.50%,16.00%,0.1,0.304,0.26,0.3,0.36,0.297,83,1.5,-11.2,6.3,1.7,1002494
2013,Jimmy Rollins,Phillies,160,666,6,65,39,22,8.90%,14.00%,0.097,0.288,0.252,0.318,0.348,0.295,84,2.8,-9.1,4.7,1.7,971
1996,Greg Colbrunn,Marlins,141,556,16,60,69,4,4.50%,13.70%,0.153,0.307,0.286,0.333,0.438,0.337,105,-1.6,1.9,-1.7,1.7,51
1991,George Bell,Cubs,149,603,25,63,86,2,5.30%,10.30%,0.183,0.279,0.285,0.323,0.468,0.346,114,-2,7.5,-11.1,1.7,1000808
1984,Tony Phillips,Athletics,154,505,4,62,37,10,8.30%,17.00%,0.093,0.317,0.266,0.325,0.359,0.311,96,-0.4,-3,2.8,1.7,1010300
1987,Harold Baines,White Sox,132,554,20,59,93,0,8.30%,14.80%,0.186,0.316,0.293,0.352,0.479,0.36,119,-0.2,13.1,-15,1.7,1000434
1999,Deivi Cruz,Tigers,155,553,13,64,58,1,2.20%,10.30%,0.143,0.296,0.284,0.302,0.427,0.316,80,-1.6,-16.2,14,1.7,1025
1998,Mike Caruso,White Sox,133,555,5,81,55,22,2.50%,6.80%,0.084,0.321,0.306,0.331,0.39,0.319,89,1.8,-5.9,3.9,1.7,595
1934,Jack Rothrock,Cardinals,154,708,11,106,72,10,6.90%,7.90%,0.114,0.298,0.284,0.336,0.399,0.339,94,1.7,-3.7,-2.6,1.7,1011244
1943,Doc Cramer,Tigers,140,651,1,79,43,4,4.80%,2.00%,0.048,0.306,0.3,0.335,0.348,0.328,93,-0.6,-5.4,0.1,1.7,1002727
1978,Rick Burleson,Red Sox,145,685,5,75,49,8,5.80%,10.40%,0.091,0.27,0.248,0.295,0.339,0.288,70,-1.4,-24.4,18.9,1.7,1001696
1984,Mike Marshall,Dodgers,134,541,21,68,65,4,7.40%,17.20%,0.182,0.277,0.257,0.315,0.438,0.333,114,-0.4,7.8,-9.8,1.7,1008145
1991,Gregg Jefferies,Mets,136,539,9,59,62,26,8.70%,7.10%,0.103,0.278,0.272,0.336,0.374,0.323,104,3.2,5.9,-7.7,1.7,1006379
1929,Evar Swanson,Reds,148,636,4,100,43,33,6.40%,7.40%,0.124,0.321,0.3,0.353,0.423,0.354,95,6.4,1.4,-5.2,1.7,1012760
1983,Al Oliver,Expos,157,664,8,70,84,1,6.60%,6.60%,0.111,0.312,0.3,0.347,0.41,0.331,109,-1.1,5.5,-10.9,1.7,1009773
1990,Robin Ventura,White Sox,150,565,5,48,54,1,9.70%,9.40%,0.069,0.269,0.249,0.324,0.318,0.297,83,-1.6,-12.5,11.2,1.7,854
1940,George McQuinn,Browns,151,659,16,78,84,3,8.60%,8.80%,0.18,0.288,0.279,0.343,0.46,0.362,101,-1,-0.3,-6.5,1.7,1008683
1970,Carlos May,White Sox,150,643,12,83,68,12,12.30%,14.90%,0.13,0.322,0.285,0.373,0.414,0.353,114,0.6,11.1,-15.1,1.7,1008291
1977,Amos Otis,Royals,142,561,17,85,78,23,12.70%,15.70%,0.182,0.27,0.251,0.342,0.433,0.341,109,2.2,7.9,-10.6,1.7,1009893
1974,Bobby Darwin,Twins,152,630,25,67,94,1,5.90%,20.20%,0.177,0.297,0.264,0.322,0.442,0.348,117,-0.8,10.7,-15.8,1.7,1002995
2000,Jeffrey Hammonds,Rockies,122,511,20,94,106,14,8.60%,16.20%,0.194,0.37,0.335,0.395,0.529,0.396,110,-0.3,6.7,-5.8,1.7,687
1912,Dots Miller,Pirates,148,628,4,74,87,18,5.90%,7.20%,0.122,0.293,0.275,0.324,0.397,0.342,96,-0.4,-3.5,-1.5,1.7,1008885
1913,Otto Knabe,Phillies,148,660,2,70,53,14,6.80%,3.90%,0.079,0.273,0.263,0.32,0.342,0.32,85,-1.6,-13.3,7,1.7,1007024
1960,Bob Skinner,Pirates,145,640,15,83,86,11,9.20%,13.40%,0.158,0.297,0.273,0.34,0.431,0.339,110,-0.8,6.6,-11.6,1.7,1012037
1935,Gus Mancuso,Giants,128,489,5,33,56,1,6.10%,3.30%,0.083,0.3,0.298,0.342,0.38,0.335,98,0,-1.4,1.9,1.7,1008051
2008,Jim Thome,White Sox,149,602,34,93,90,1,15.10%,24.40%,0.258,0.273,0.245,0.362,0.503,0.371,122,-5.8,10.8,-15,1.7,409
1974,Ed Brinkman,Tigers,153,546,14,55,54,2,5.30%,13.00%,0.125,0.231,0.221,0.266,0.347,0.282,70,0.5,-17.3,16,1.7,1001438
1993,Mike Devereaux,Orioles,131,577,14,72,75,3,7.50%,17.20%,0.15,0.282,0.25,0.306,0.4,0.314,89,-0.5,-8.6,6.9,1.7,1003242
1931,Sparky Adams,Cardinals,143,658,1,97,40,16,6.40%,3.60%,0.097,0.304,0.293,0.34,0.39,0.339,95,3.1,-1.5,-2.1,1.7,1000063
1972,Norm Cash,Tigers,137,501,22,51,61,0,10.00%,12.80%,0.186,0.258,0.259,0.338,0.445,0.35,128,-0.6,13.3,-13.4,1.7,1002043
2000,Brady Anderson,Orioles,141,618,19,89,50,16,14.90%,16.70%,0.164,0.284,0.257,0.375,0.421,0.353,108,-0.9,6,-9.6,1.7,364
1994,Chad Curtis,Angels,114,506,11,67,50,25,7.30%,13.60%,0.141,0.279,0.256,0.317,0.397,0.315,83,0.2,-11.2,10.7,1.7,1002898
2018,Justin Smoak,Blue Jays,147,594,25,67,77,0,14.00%,26.30%,0.216,0.297,0.242,0.35,0.457,0.349,121,-7.3,7.9,-11.3,1.7,9054
1913,Harry Wolter,Yankees,127,521,2,53,43,13,15.40%,9.60%,0.085,0.284,0.254,0.377,0.339,0.355,113,-1.9,6,-7.3,1.7,1014200
1901,Wid Conroy,Brewers,131,560,5,74,64,21,6.40%,,0.093,,0.256,0.316,0.35,0.318,88,0.6,-8.7,5.7,1.7,1002544
1930,Pinky Whitney,Phillies,149,662,8,87,117,3,6.00%,6.20%,0.124,0.357,0.342,0.383,0.465,0.381,95,0.5,-4.2,-0.3,1.7,1013909
1998,Tom Goodwin,Rangers,154,608,2,102,33,38,12.00%,14.80%,0.048,0.346,0.29,0.378,0.338,0.331,91,-1.1,-7.9,3.9,1.7,1114
1917,Fred Merkle,- - -,148,616,3,66,57,13,6.80%,9.90%,0.104,0.292,0.264,0.32,0.368,0.334,107,-0.5,4.1,-9.7,1.7,1008783
2004,Pedro Feliz,Giants,144,531,22,72,84,5,4.30%,16.00%,0.209,0.292,0.276,0.305,0.485,0.334,100,-2,-2,1.1,1.7,1112
1910,Bill Sweeney,Doves,150,579,5,43,46,25,10.50%,4.80%,0.09,0.275,0.267,0.349,0.357,0.348,99,0.5,0,-6.1,1.7,1012771
1906,Dave Altizer,Senators,115,493,1,56,27,37,7.10%,,0.051,,0.256,0.324,0.307,0.313,102,3.7,4.6,-8.1,1.7,1000188
1952,Dave Philley,Athletics,151,666,7,80,71,11,8.90%,5.30%,0.092,0.27,0.263,0.334,0.355,0.325,89,1.3,-7.1,2.1,1.7,1010285
1991,Mark Grace,Cubs,160,703,8,87,58,3,10.00%,7.50%,0.1,0.285,0.273,0.346,0.373,0.325,99,-1,-1.8,-4.6,1.7,56
1907,Ollie Pickering,Browns,151,634,0,63,60,15,5.50%,,0.061,,0.276,0.321,0.337,0.323,111,-1.2,5.8,-11.9,1.7,1010315
2014,Aramis Ramirez,Brewers,133,531,15,47,66,3,4.00%,14.10%,0.142,0.31,0.285,0.33,0.427,0.334,109,-6,-0.5,-0.4,1.7,1002
1953,Cal Abrams,Pirates,119,512,15,66,43,4,11.30%,13.70%,0.15,0.311,0.286,0.368,0.435,0.366,106,-0.4,3.8,-3.5,1.7,1000025
1983,Greg Brock,Dodgers,146,543,20,64,66,5,15.30%,14.90%,0.171,0.229,0.224,0.343,0.396,0.329,108,0.5,5.4,-7,1.7,1001455
2005,Mike Sweeney,Royals,122,514,21,63,83,3,6.40%,11.90%,0.217,0.305,0.3,0.347,0.517,0.365,122,-1.1,12.6,-13.4,1.7,634
1990,Billy Hatcher,Reds,139,545,5,68,25,30,6.10%,7.70%,0.105,0.293,0.276,0.327,0.381,0.318,92,1.8,-3.2,0.2,1.7,1005486
1999,Joe McEwing,Cardinals,152,575,9,65,44,7,7.10%,15.10%,0.123,0.313,0.275,0.333,0.398,0.318,82,-0.4,-14.1,12,1.7,887
1962,Jerry Kindall,Indians,154,588,13,51,55,4,7.70%,18.20%,0.117,0.265,0.232,0.29,0.349,0.282,69,-0.4,-22.9,22.7,1.7,1006921
1947,Johnny Wyrostek,Phillies,128,523,5,68,51,7,11.70%,8.60%,0.117,0.295,0.273,0.364,0.39,0.356,103,1.3,3.2,-4.5,1.7,1014314
2014,Joe Mauer,Twins,120,518,4,60,55,3,11.60%,18.50%,0.095,0.342,0.277,0.361,0.371,0.322,105,3.3,5.9,-7.1,1.7,1857
1914,Grover Gilmore,Packers,139,590,1,91,32,23,6.30%,18.30%,0.072,0.359,0.287,0.337,0.358,0.336,100,2.7,2.5,-6.3,1.7,1004733
2014,Coco Crisp,Athletics,126,536,9,68,47,19,12.30%,12.30%,0.117,0.266,0.246,0.336,0.363,0.314,104,4.7,7.2,-8.9,1.7,1572
1916,Bert Niehoff,Phillies,146,611,4,65,61,20,6.10%,9.30%,0.113,0.265,0.243,0.292,0.356,0.314,94,-2.1,-5.5,1.1,1.7,1009581
1976,John Mayberry,Royals,161,690,13,76,95,3,11.90%,10.60%,0.109,0.24,0.232,0.322,0.342,0.308,94,0,-4.1,-0.9,1.7,1008289
1953,Dee Fondy,Cubs,150,641,18,79,78,10,6.90%,16.50%,0.168,0.352,0.309,0.358,0.477,0.375,113,-0.4,10.3,-14.2,1.7,1004204
2014,Andrelton Simmons,Braves,146,576,7,44,46,4,5.60%,10.40%,0.087,0.263,0.244,0.286,0.331,0.273,71,-3.3,-22,19.7,1.7,10847
1972,Ray Fosse,Indians,134,508,10,42,41,5,8.90%,9.10%,0.114,0.248,0.241,0.312,0.354,0.297,89,0.7,-5.1,5.3,1.7,1004243
1941,Bama Rowell,Braves,138,524,7,49,60,11,7.40%,6.90%,0.116,0.277,0.267,0.322,0.383,0.329,99,2,1.3,-0.7,1.7,1011257
1928,Harry Rice,Tigers,131,573,6,87,81,20,7.70%,4.70%,0.124,0.31,0.302,0.36,0.425,0.362,103,-1.9,0.3,-4.1,1.7,1010895
1997,Dean Palmer,- - -,143,592,23,70,86,2,6.90%,22.60%,0.188,0.297,0.256,0.31,0.445,0.327,90,-0.4,-8.1,4.2,1.7,482
2003,Frank Catalanotto,Blue Jays,133,535,13,83,59,2,6.50%,11.60%,0.174,0.319,0.299,0.351,0.472,0.356,113,4.3,13.2,-14.8,1.7,1241
1914,Jack Tobin,Terriers,139,599,7,81,35,20,8.50%,8.80%,0.123,0.29,0.27,0.34,0.393,0.354,105,2.2,5.8,-10.3,1.7,1013088
2018,Alex Gordon,Royals,141,568,13,56,54,12,8.80%,21.80%,0.125,0.299,0.245,0.324,0.37,0.305,89,-0.1,-7.2,4.6,1.7,5209
1916,Clyde Milan,Senators,150,638,1,58,45,34,8.80%,4.90%,0.041,0.287,0.273,0.343,0.313,0.324,100,-2.5,-2.6,-1.7,1.7,1008856
1957,Harvey Kuenn,Tigers,151,679,9,74,44,5,6.90%,4.10%,0.111,0.278,0.277,0.327,0.388,0.319,93,-1.7,-7.5,2.3,1.7,1007200
1977,Frank White,Royals,152,514,5,59,50,23,4.90%,13.00%,0.097,0.275,0.245,0.284,0.342,0.281,68,2.9,-16.3,15.5,1.7,1013872
1927,Taylor Douthit,Cardinals,130,555,5,81,50,6,9.40%,8.10%,0.115,0.281,0.262,0.336,0.377,0.335,90,0.8,-6,4.9,1.7,1003438
1983,Mike Hargrove,Indians,134,566,3,57,57,0,13.80%,7.10%,0.081,0.303,0.286,0.388,0.367,0.345,113,-2.5,5.9,-8.7,1.7,1005361
2000,Rey Sanchez,Royals,143,555,1,68,38,7,5.00%,9.90%,0.049,0.303,0.273,0.314,0.322,0.288,57,0.1,-32,28.2,1.7,213
1965,Ken Harrelson,Athletics,150,556,23,61,66,9,11.90%,20.10%,0.19,0.262,0.238,0.329,0.429,0.338,114,-0.8,7.9,-9.4,1.7,1005389
1923,Baby Doll Jacobson,Browns,147,643,8,76,81,6,4.50%,4.20%,0.11,0.314,0.309,0.343,0.419,0.354,93,0.1,-5.7,1.4,1.7,1006316
1930,Lyn Lary,Yankees,117,532,3,93,52,14,8.50%,7.50%,0.097,0.311,0.289,0.357,0.386,0.342,95,1.8,-1.8,1,1.7,1007365
1953,Bobby Thomson,Giants,154,656,26,80,106,4,6.60%,8.70%,0.184,0.284,0.288,0.338,0.472,0.363,107,0.5,6.5,-11,1.7,1013032
1920,Cliff Heathcote,Cardinals,133,531,3,55,56,21,4.70%,5.80%,0.088,0.299,0.284,0.32,0.372,0.325,99,0.1,-0.5,-0.3,1.7,1005559
2000,Tom Goodwin,- - -,147,606,6,94,58,55,11.20%,19.30%,0.089,0.325,0.263,0.346,0.352,0.316,70,6.5,-18.3,14.6,1.7,1114
1921,Doc Lavan,Cardinals,150,607,2,58,82,7,3.80%,4.90%,0.091,0.271,0.259,0.291,0.35,0.295,67,-0.2,-25.8,21.3,1.7,1007388
1981,Dale Murphy,Braves,104,416,13,43,50,14,10.60%,17.30%,0.144,0.273,0.247,0.325,0.39,0.323,98,1,-0.1,1.9,1.7,1009355
1983,Mike Marshall,Dodgers,140,518,17,47,65,7,8.30%,24.50%,0.151,0.353,0.284,0.347,0.434,0.348,121,0.1,12.6,-13.9,1.6,1008145
2004,Chad Tracy,Diamondbacks,143,532,8,45,53,2,8.50%,11.30%,0.123,0.309,0.285,0.343,0.407,0.327,89,-1.9,-9.6,8.6,1.6,1888
2016,Michael Saunders,Blue Jays,140,558,24,70,57,1,10.60%,28.10%,0.224,0.321,0.253,0.338,0.478,0.348,119,-0.9,11.5,-14.6,1.6,9981
1921,Ed Konetchy,- - -,127,519,11,63,82,6,7.70%,7.30%,0.159,0.308,0.299,0.361,0.458,0.374,109,1.4,7.4,-8.4,1.6,1007093
1906,Shad Barry,- - -,135,578,1,64,45,17,7.10%,,0.066,,0.269,0.329,0.335,0.327,104,-0.8,1.8,-5.8,1.6,1000619
1902,George Barclay,Cardinals,137,588,3,79,53,30,5.30%,,0.05,,0.3,0.345,0.35,0.336,116,1.7,12.3,-16.8,1.6,1000535
1946,Willard Marshall,Giants,131,550,13,63,48,3,6.00%,5.30%,0.124,0.28,0.282,0.327,0.406,0.345,104,0.3,2.6,-3.2,1.6,1008148
1924,Willie Kamm,White Sox,147,626,6,58,93,10,10.20%,9.40%,0.11,0.276,0.254,0.337,0.364,0.332,84,-0.4,-14,8.5,1.6,1006683
1970,Roy Foster,Indians,139,545,23,66,60,3,9.90%,13.80%,0.199,0.276,0.268,0.357,0.468,0.368,123,-0.4,14.7,-16,1.6,1004257
1905,Del Howard,Pirates,123,484,2,56,63,19,5.60%,,0.078,,0.292,0.345,0.37,0.346,110,0.3,5.9,-8.2,1.6,1006076
2008,Bobby Abreu,Yankees,156,684,20,100,100,22,10.70%,15.90%,0.176,0.333,0.296,0.371,0.471,0.369,125,-0.2,21.2,-28.6,1.6,945
1979,Chris Chambliss,Yankees,149,599,18,61,63,3,5.70%,8.80%,0.157,0.281,0.28,0.324,0.437,0.336,106,0,4.1,-7.8,1.6,1002119
1914,George McBride,Senators,156,574,0,49,24,12,7.50%,12.20%,0.04,0.236,0.203,0.274,0.243,0.258,57,-4.2,-30.6,25.6,1.6,1008342
1956,Vic Power,Athletics,127,559,14,77,63,2,4.30%,2.90%,0.138,0.299,0.309,0.34,0.447,0.349,102,-0.1,1.6,-4.3,1.6,1010506
1924,Bucky Harris,Senators,143,653,1,88,58,20,8.60%,6.30%,0.09,0.289,0.268,0.344,0.358,0.334,86,1.2,-10.8,4.4,1.6,1005402
1909,Steve Evans,Cardinals,143,590,2,67,56,14,11.20%,,0.07,,0.259,0.362,0.329,0.347,118,-2.1,8.9,-15,1.6,1003870
1928,Charlie Jamieson,Indians,112,501,1,63,37,3,11.20%,4.00%,0.067,0.32,0.307,0.388,0.374,0.362,103,-4.8,-2.6,1.2,1.6,1006355
1927,Cy Williams,Phillies,131,570,30,86,98,0,10.70%,10.00%,0.228,0.259,0.274,0.365,0.502,0.396,120,-0.4,14.3,-15.6,1.6,1013981
2003,Mark Ellis,Athletics,154,622,9,78,52,6,7.70%,15.10%,0.123,0.281,0.248,0.313,0.371,0.3,80,3.7,-11.9,7.2,1.6,1443
2000,Brad Fullmer,Blue Jays,133,524,32,76,104,3,5.70%,13.00%,0.263,0.284,0.295,0.34,0.558,0.376,118,0.2,12.8,-14,1.6,13
1990,Junior Felix,Blue Jays,127,517,15,73,65,13,8.70%,19.10%,0.177,0.302,0.263,0.328,0.441,0.343,114,-0.7,7.3,-8.1,1.6,1003974
1988,Kevin Bass,Astros,157,595,14,57,72,31,7.10%,10.90%,0.135,0.267,0.255,0.314,0.39,0.312,104,3.5,6,-9.3,1.6,1000645
1951,Billy Goodman,Red Sox,141,638,0,92,50,7,12.40%,5.80%,0.077,0.318,0.297,0.388,0.374,0.361,102,0.4,1.9,-6.2,1.6,1004856
1940,Sam Chapman,Athletics,134,562,23,88,75,2,8.20%,17.10%,0.199,0.301,0.276,0.337,0.474,0.365,105,-2.4,1.2,-4.8,1.6,1002152
1941,Pinky May,Phillies,142,555,0,46,39,2,9.90%,5.40%,0.051,0.285,0.267,0.344,0.318,0.319,92,0.1,-5.3,5,1.6,1008309
1919,Walter Holke,Braves,137,570,0,48,48,19,3.70%,4.40%,0.05,0.306,0.292,0.325,0.342,0.319,103,0.8,2.7,-4.2,1.6,1005946
1960,Rocky Colavito,Tigers,145,616,35,67,87,3,8.60%,13.00%,0.225,0.233,0.249,0.317,0.474,0.348,107,-1.6,4,-6,1.6,1002404
1946,Don Kolloway,White Sox,123,500,3,45,53,14,1.80%,5.80%,0.083,0.293,0.28,0.293,0.363,0.306,80,0.3,-10.9,9.9,1.6,1007087
1975,Willie Davis,- - -,140,550,11,57,67,23,3.30%,9.50%,0.146,0.287,0.277,0.304,0.424,0.327,101,2.4,2.8,-5,1.6,1003088
1971,Dick McAuliffe,Tigers,128,537,18,67,57,4,9.90%,12.50%,0.172,0.206,0.208,0.293,0.379,0.307,89,0.5,-6,4.9,1.6,1008331
1915,Heinie Zimmerman,Cubs,139,561,3,65,62,19,3.70%,5.90%,0.113,0.279,0.265,0.3,0.379,0.325,103,-1.2,0.3,-5.7,1.6,1014444
1996,Carlos Delgado,Blue Jays,138,563,25,68,92,0,10.30%,24.70%,0.219,0.322,0.27,0.353,0.49,0.363,111,-0.1,8.2,-12.2,1.6,1297
1901,Fred Tenney,Beaneaters,115,508,1,66,22,15,7.30%,,0.04,,0.282,0.34,0.322,0.321,92,-0.8,-6.5,4.6,1.6,1012916
1989,Gary Gaetti,Twins,130,536,19,63,75,6,4.70%,16.20%,0.153,0.264,0.251,0.286,0.404,0.305,86,0.2,-8.1,6.3,1.6,1004422
1998,Mark McLemore,Rangers,126,567,5,79,53,12,15.70%,11.30%,0.069,0.276,0.247,0.369,0.317,0.322,85,0.6,-10.3,7.2,1.6,1088
2014,David Wright,Mets,134,586,8,54,63,8,7.20%,19.30%,0.105,0.325,0.269,0.324,0.374,0.308,99,-4.5,-5.1,2.2,1.6,3787
1930,Wally Gilbert,Robins,150,688,3,92,67,7,6.80%,4.80%,0.085,0.307,0.294,0.345,0.379,0.332,79,1.3,-21.5,13.8,1.6,1004698
1972,Vada Pinson,Angels,136,527,7,56,49,17,5.70%,10.20%,0.101,0.295,0.275,0.321,0.376,0.311,109,1.4,6.2,-6.6,1.6,1010360
2018,Matt Kemp,Dodgers,146,506,21,62,85,0,7.10%,22.70%,0.19,0.339,0.29,0.338,0.481,0.348,122,-4.2,9.5,-9.6,1.6,5631
1997,Mark Grudzielanek,Expos,156,688,4,76,51,25,3.30%,11.00%,0.111,0.302,0.273,0.307,0.384,0.305,79,1.2,-16.8,11.4,1.6,653
1924,Joe Dugan,Yankees,148,671,3,105,56,1,4.60%,4.90%,0.089,0.315,0.302,0.341,0.39,0.341,88,1,-9.6,2.6,1.6,1003537
1948,Sam Chapman,Athletics,123,506,13,58,70,6,10.90%,9.90%,0.155,0.267,0.258,0.341,0.413,0.352,99,0.6,0,-0.7,1.6,1002152
1986,Mike Easler,Yankees,146,546,14,64,78,3,9.00%,15.90%,0.147,0.34,0.302,0.362,0.449,0.352,119,-0.2,12.1,-14.3,1.6,1003635
