Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
1992,Barry Bonds,Pirates,140,612,34,109,103,39,20.80%,11.30%,0.313,0.3,0.311,0.456,0.624,0.459,198,4.6,70,-0.4,9.6,1109
1917,Rogers Hornsby,Cardinals,145,589,8,86,66,17,7.60%,5.80%,0.157,0.339,0.327,0.385,0.484,0.416,164,-0.1,38.1,26.9,9.5,1006030
2003,Albert Pujols,Cardinals,157,685,43,137,124,5,11.50%,9.50%,0.308,0.346,0.359,0.439,0.667,0.461,184,5.6,79.8,-5.4,9.5,1177
1976,Joe Morgan,Reds,141,599,27,113,111,60,19.00%,6.80%,0.256,0.298,0.32,0.444,0.576,0.454,184,8.5,64.4,2.1,9.5,1009179
2011,Jacoby Ellsbury,Red Sox,158,732,32,119,105,39,7.10%,13.40%,0.23,0.336,0.321,0.376,0.552,0.4,150,5.1,47.5,18,9.5,4727
2000,Alex Rodriguez,Mariners,148,672,41,134,132,15,14.90%,18.00%,0.291,0.333,0.316,0.42,0.606,0.431,158,1.3,54.4,22.6,9.5,1274
1973,Joe Morgan,Reds,157,698,26,116,82,67,15.90%,8.70%,0.203,0.286,0.29,0.406,0.493,0.405,156,7.9,53,14.7,9.5,1009179
1967,Ron Santo,Cubs,161,697,31,107,98,1,13.80%,14.80%,0.212,0.313,0.3,0.395,0.512,0.4,153,-1.1,39.7,22,9.5,1011447
1906,Nap Lajoie,Naps,152,655,0,88,91,20,4.60%,,0.11,,0.355,0.392,0.465,0.413,163,-1.1,41.8,20.9,9.4,1007259
1974,Mike Schmidt,Phillies,162,686,36,108,116,23,15.50%,20.10%,0.264,0.311,0.282,0.395,0.546,0.417,157,0.6,44.7,21.9,9.4,1011586
1919,Babe Ruth,Red Sox,130,542,29,103,114,7,18.60%,10.70%,0.336,0.319,0.322,0.456,0.657,0.509,203,-1.9,63.6,1.5,9.4,1011327
1915,Eddie Collins,White Sox,155,680,4,118,77,46,17.50%,4.00%,0.104,0.345,0.332,0.46,0.436,0.436,169,-2.2,49,12,9.3,1002451
1911,Joe Jackson,Naps,147,641,7,126,83,41,8.70%,,0.182,,0.408,0.468,0.59,0.494,184,2.2,70.4,-1.1,9.3,1006301
1944,Stan Musial,Cardinals,146,667,12,112,94,7,13.50%,4.20%,0.202,0.35,0.347,0.44,0.549,0.457,174,0.9,58.7,9,9.3,1009405
1914,Tris Speaker,Red Sox,158,668,4,101,90,42,11.50%,3.70%,0.165,0.349,0.338,0.423,0.503,0.439,175,-4.6,49.2,10.1,9.3,1012309
1997,Craig Biggio,Astros,162,744,22,146,81,47,11.30%,14.40%,0.192,0.34,0.309,0.415,0.501,0.401,148,5.2,50.3,20.8,9.3,549
2015,Bryce Harper,Nationals,153,654,42,118,99,6,19.00%,20.00%,0.319,0.369,0.33,0.46,0.649,0.461,197,3.6,77.7,-10.2,9.3,11579
1910,Nap Lajoie,Naps,159,677,4,94,76,26,8.90%,,0.13,,0.384,0.445,0.514,0.461,194,-1,63.6,-1.3,9.3,1007259
2015,Mike Trout,Angels,159,682,41,104,90,11,13.50%,23.20%,0.29,0.344,0.299,0.402,0.59,0.415,171,3,58.7,6.6,9.3,10155
1968,Carl Yastrzemski,Red Sox,157,664,23,90,74,13,17.90%,13.60%,0.195,0.323,0.301,0.426,0.495,0.414,170,0.7,46.8,16.7,9.3,1014326
1996,Alex Rodriguez,Mariners,146,677,36,141,123,15,8.70%,15.40%,0.273,0.382,0.358,0.414,0.631,0.443,159,1,56,15.8,9.2,1274
1907,Honus Wagner,Pirates,142,580,6,98,82,61,7.90%,,0.163,,0.35,0.408,0.513,0.445,178,8,55.4,3.4,9.2,1013485
