"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Mike Trout","Angels","134","600","45","110","104","11","18.3 %","20.0 %",".353",".298",".291",".438",".645",".436","180","7.1","68.2","-0.4","8.6","10155"
"Alex Bregman","Astros","156","690","41","122","112","5","17.2 %","12.0 %",".296",".281",".296",".423",".592",".418","168","-2.1","58.3","4.4","8.4","17678"
"Christian Yelich","Brewers","130","580","44","100","97","30","13.8 %","20.3 %",".342",".355",".329",".429",".671",".442","174","8.5","65.3","-3.7","7.8","11477"
"Cody Bellinger","Dodgers","156","660","47","121","115","15","14.4 %","16.4 %",".324",".302",".305",".406",".629",".415","162","1.1","55.0","3.2","7.7","15998"
"Marcus Semien","Athletics","162","753","33","123","92","10","11.8 %","13.5 %",".236",".292",".283",".369",".519",".371","137","1.7","37.1","13.9","7.5","12533"
"Ketel Marte","Diamondbacks","144","628","32","97","92","10","8.4 %","13.7 %",".264",".342",".329",".389",".592",".405","151","4.2","46.1","7.0","7.1","13613"
"Anthony Rendon","Nationals","146","646","34","117","126","5","12.4 %","13.3 %",".279",".323",".319",".412",".598",".413","154","0.7","46.8","4.1","7.0","12861"
"Xander Bogaerts","Red Sox","155","698","33","110","117","4","10.9 %","17.5 %",".246",".338",".309",".384",".555",".390","141","0.9","37.6","8.1","6.8","12161"
"Mookie Betts","Red Sox","150","706","29","135","80","16","13.7 %","14.3 %",".229",".309",".295",".391",".524",".380","135","5.3","36.7","6.7","6.6","13611"
"George Springer","Astros","122","556","39","96","96","6","12.1 %","20.3 %",".299",".305",".292",".383",".591",".400","156","0.7","40.7","6.2","6.5","12856"
"Matt Chapman","Athletics","156","675","36","102","92","1","11.1 %","22.1 %",".256",".270",".247",".342",".503",".354","125","0.7","22.1","17.7","6.2","16505"
"Rafael Devers","Red Sox","156","702","32","129","115","8","6.8 %","17.0 %",".244",".339",".311",".361",".555",".377","133","1.8","31.0","5.5","5.9","17350"
"Nolan Arenado","Rockies","155","662","41","102","118","3","9.4 %","14.0 %",".269",".312",".315",".379",".583",".392","128","2.5","27.1","12.6","5.9","9777"
"Trevor Story","Rockies","145","656","35","111","85","23","8.8 %","26.5 %",".260",".361",".294",".363",".554",".380","121","5.9","23.9","15.1","5.9","12564"
"J.T. Realmuto","Phillies","145","593","25","92","83","9","6.9 %","20.7 %",".217",".309",".275",".328",".493",".340","108","5.4","11.8","27.8","5.7","11739"
"Ronald Acuna Jr.","Braves","156","715","41","127","101","37","10.6 %","26.3 %",".238",".337",".280",".365",".518",".369","126","8.1","33.1","1.7","5.6","18401"
"Yoan Moncada","White Sox","132","559","25","83","79","10","7.2 %","27.5 %",".233",".406",".315",".367",".548",".379","141","3.3","32.5","5.5","5.6","17232"
"DJ LeMahieu","Yankees","145","655","26","109","102","5","7.0 %","13.7 %",".191",".349",".327",".375",".518",".375","136","-0.1","30.0","2.8","5.4","9874"
"Yasmani Grandal","Brewers","153","632","28","79","77","5","17.2 %","22.0 %",".222",".279",".246",".380",".468",".361","121","-3.8","13.9","20.6","5.3","11368"
"Josh Donaldson","Braves","155","659","37","96","94","4","15.2 %","23.5 %",".262",".292",".259",".379",".521",".377","132","-3.1","24.8","4.9","5.0","5038"
"Peter Alonso","Mets","161","693","53","103","120","1","10.4 %","26.4 %",".323",".280",".260",".358",".583",".384","143","-2.2","37.1","-9.7","4.8","19251"
"Kris Bryant","Cubs","147","634","31","108","77","4","11.7 %","22.9 %",".239",".331",".282",".382",".521",".379","135","3.8","32.9","-4.0","4.8","15429"
"Max Muncy","Dodgers","141","589","35","101","98","4","15.3 %","25.3 %",".265",".283",".251",".374",".515",".372","134","4.6","31.1","-1.0","4.8","13301"
"Juan Soto","Nationals","150","659","34","110","110","12","16.4 %","20.0 %",".266",".312",".282",".401",".548",".394","142","-0.8","35.7","-8.3","4.7","20123"
"Ozzie Albies","Braves","160","702","24","102","86","15","7.7 %","16.0 %",".205",".325",".295",".352",".500",".354","117","4.8","20.2","4.8","4.6","16556"
"Bryce Harper","Phillies","157","682","35","98","114","15","14.5 %","26.1 %",".250",".313",".260",".372",".510",".365","125","-0.6","21.9","3.4","4.6","11579"
"Jeff McNeil","Mets","133","567","23","83","75","5","6.2 %","13.2 %",".214",".337",".318",".384",".531",".384","143","-2.9","29.4","-0.8","4.6","15362"
"Eugenio Suarez","Reds","159","662","49","87","103","3","10.6 %","28.5 %",".301",".312",".271",".358",".572",".381","133","-5.8","23.0","1.9","4.5","12552"
"Francisco Lindor","Indians","143","654","32","101","74","22","7.0 %","15.0 %",".234",".291",".284",".335",".518",".349","114","-2.1","9.9","12.6","4.4","12916"
"Max Kepler","Twins","134","596","36","98","90","1","10.1 %","16.6 %",".267",".244",".252",".336",".519",".355","121","-1.8","14.5","9.9","4.4","12144"
"Carlos Santana","Indians","158","686","34","110","93","4","15.7 %","15.7 %",".234",".293",".281",".397",".515",".380","135","1.5","32.0","-10.8","4.4","2396"
"Javier Baez","Cubs","138","561","29","89","85","11","5.0 %","27.8 %",".250",".345",".281",".316",".531",".347","114","1.2","11.3","15.7","4.4","12979"
"Nelson Cruz","Twins","120","521","41","81","108","0","10.7 %","25.1 %",".328",".351",".311",".392",".639",".417","163","-4.4","37.8","-12.3","4.3","2434"
"Michael Brantley","Astros","148","637","22","88","90","3","8.0 %","10.4 %",".191",".320",".311",".372",".503",".367","133","-0.1","27.2","-6.8","4.2","4106"
"Paul DeJong","Cardinals","159","664","30","97","78","9","9.3 %","22.4 %",".211",".259",".233",".318",".444",".322","100","2.2","2.1","18.6","4.1","18015"
"Jorge Polanco","Twins","153","704","22","107","79","4","8.5 %","16.5 %",".190",".328",".295",".356",".485",".352","120","3.1","20.7","-3.6","4.1","13152"
"Austin Meadows","Rays","138","591","33","83","89","12","9.1 %","22.2 %",".268",".331",".291",".364",".558",".380","142","-1.1","30.9","-10.0","4.1","15672"
"Freddie Freeman","Braves","158","692","38","113","121","6","12.6 %","18.4 %",".255",".318",".295",".389",".549",".387","138","-0.2","34.9","-16.1","4.0","5361"
"Jonathan Villar","Orioles","162","714","24","111","73","40","8.5 %","24.6 %",".179",".341",".274",".339",".453",".335","107","10.6","17.2","-1.3","4.0","10071"
"Anthony Rizzo","Cubs","146","613","27","89","94","5","11.6 %","14.0 %",".227",".306",".293",".405",".520",".390","141","-5.4","28.2","-7.2","4.0","3473"
"Matt Olson","Athletics","127","552","36","73","92","0","9.2 %","25.5 %",".275",".301",".266",".350",".541",".366","133","-0.3","23.2","-2.7","3.9","14344"
"Michael Conforto","Mets","151","648","33","90","92","7","13.0 %","23.0 %",".237",".290",".257",".363",".494",".358","126","1.3","23.6","-5.6","3.8","16376"
"Kolten Wong","Cardinals","148","549","11","61","59","24","8.6 %","15.1 %",".138",".321",".285",".361",".423",".334","108","7.1","12.9","7.5","3.7","12532"
